Município,Área Territorial - km² [2022],População residente - pessoas [2022],Densidade demográfica - hab/km² [2022],PIB per capita - R$ [2021]
Leopoldina,943.077,51145.0,54.23,21124.06
Liberdade,401.337,4737.0,11.8,21553.54
Lima Duarte,848.564,17221.0,20.29,20279.44
Limeira do Oeste,1317.153,8687.0,6.6,60582.62
Lontra,258.925,8790.0,33.95,9610.66
Luisburgo,145.418,6956.0,47.83,21249.6
Luislândia,411.714,6210.0,15.08,9721.43
Luminárias,500.143,5586.0,11.17,27448.05
Luz,1171.659,17875.0,15.26,35908.88
Machacalis,332.378,6487.0,19.52,15811.47
Machado,585.958,37684.0,64.31,32188.05
Madre de Deus de Minas,492.909,5191.0,10.53,58993.52
Malacacheta,727.886,17516.0,24.06,12708.51
Mamonas,284.365,5997.0,21.09,9155.69
Manga,1950.184,18886.0,9.68,13482.39
Manhuaçu,628.318,91886.0,146.24,35607.52
Manhumirim,182.9,20613.0,112.7,24613.19
Mantena,685.208,26535.0,38.73,17248.55
Maravilhas,261.604,7333.0,28.03,28738.33
Mar de Espanha,371.6,12721.0,34.23,17526.23
Maria da Fé,202.898,14247.0,70.22,14490.07
Mariana,1194.208,61387.0,51.4,119155.4
Marilac,158.809,4224.0,26.6,14150.23
Mário Campos,35.196,15900.0,451.76,12520.55
Maripá de Minas,77.338,3387.0,43.79,24993.05
Marliéria,545.813,4592.0,8.41,14999.89
Marmelópolis,107.902,3200.0,29.66,15843.65
Martinho Campos,1058.418,14003.0,13.23,35176.11
Martins Soares,113.268,8396.0,74.13,24963.05
Mata Verde,227.539,9112.0,40.05,10526.08
Materlândia,280.53,3963.0,14.13,13710.97
Mateus Leme,301.383,37841.0,125.56,34132.67
Matias Barbosa,157.066,14121.0,89.9,42951.23
Matias Cardoso,1940.598,8895.0,4.58,13964.57
Matipó,266.99,18552.0,69.49,22270.48
Mato Verde,472.245,12038.0,25.49,12741.8
Matozinhos,252.453,37618.0,149.01,39152.41
Matutina,260.957,3814.0,14.62,26036.56
Medeiros,946.437,3900.0,4.12,64058.5
Medina,1435.903,20156.0,14.04,12224.08
Mendes Pimentel,305.507,5606.0,18.35,12006.86
Mercês,348.271,10373.0,29.78,14085.21
Mesquita,274.938,5040.0,18.33,10833.03
Minas Novas,1812.398,24405.0,13.47,11112.45
Minduri,219.774,3741.0,17.02,42093.45
Mirabela,723.278,13651.0,18.87,11941.74
Miradouro,301.672,8968.0,29.73,16084.86
Miraí,320.695,13633.0,42.51,21973.7
Miravânia,602.128,3985.0,6.62,9477.13
Moeda,155.112,5125.0,33.04,15529.83
Moema,202.705,7548.0,37.24,20110.03
Monjolos,650.911,2169.0,3.33,21433.52
Monsenhor Paulo,216.54,8340.0,38.51,26033.53
Montalvânia,1503.755,14060.0,9.35,11313.56
Monte Alegre de Minas,2595.957,20170.0,7.77,35500.1
Monte Azul,1001.296,20328.0,20.3,12467.46
Monte Belo,421.283,13046.0,30.97,27847.63
Monte Carmelo,1343.035,47692.0,35.51,32440.12
Monte Formoso,385.553,4381.0,11.36,8919.75
Monte Santo de Minas,594.632,20890.0,35.13,22477.33
Montes Claros,3589.811,414240.0,115.39,25870.23
Monte Sião,291.594,24089.0,82.61,25011.26
Montezuma,1130.419,6888.0,6.09,10868.92
Morada Nova de Minas,2084.275,9067.0,4.35,60432.26
Morro da Garça,414.772,2411.0,5.81,21156.64
Morro do Pilar,477.548,3133.0,6.56,14113.38
Munhoz,191.564,7451.0,38.9,21570.92
Muriaé,841.693,104108.0,123.69,24137.53
Mutum,1250.824,27635.0,22.09,18874.87
Muzambinho,409.948,21891.0,53.4,26091.09
Nacip Raydan,233.493,2459.0,10.53,11607.0
Nanuque,1518.166,35038.0,23.08,19924.58
Naque,127.173,6303.0,49.56,12675.74
Natalândia,468.66,3520.0,7.51,22725.11
Natércia,188.719,4691.0,24.86,24403.15
Nazareno,341.453,8179.0,23.95,76794.68
Nepomuceno,582.553,25018.0,42.95,23008.04
Ninheira,1108.255,10588.0,9.55,12205.08
Nova Belém,146.775,3151.0,21.47,27201.82
Nova Era,361.926,17438.0,48.18,24702.73
Nova Lima,429.313,111697.0,260.18,216092.4
Nova Módica,375.973,3663.0,9.74,16530.55
Nova Ponte,1111.011,14598.0,13.14,69569.06
Nova Porteirinha,120.943,6706.0,55.45,15515.42
Nova Resende,390.152,16387.0,42.0,22770.81
Nova Serrana,282.472,105552.0,373.67,24352.06
Novo Cruzeiro,1702.981,26975.0,15.84,10544.29
Novo Oriente de Minas,755.151,10275.0,13.61,11256.56
Novorizonte,271.61,4571.0,16.83,13167.03
Olaria,178.242,1945.0,10.91,18836.72
Olhos-d'Água,2092.078,5385.0,2.57,33947.04
Olímpio Noronha,54.633,2555.0,46.77,15528.17
Oliveira,897.294,39262.0,43.76,26318.88
Oliveira Fortes,111.13,2027.0,18.24,19047.02
Onça de Pitangui,246.976,2969.0,12.02,20575.42
Oratórios,89.068,4917.0,55.21,15170.99
Orizânia,121.8,8437.0,69.27,14998.7
Ouro Branco,258.726,38724.0,149.67,219860.0
Ouro Fino,533.714,32094.0,60.13,27526.34
Ouro Preto,1245.865,74821.0,60.06,127232.37
Ouro Verde de Minas,175.482,5757.0,32.81,11503.59
Padre Carvalho,446.275,5058.0,11.33,8999.72
Padre Paraíso,544.375,17334.0,31.84,10514.08
Paineiras,637.309,4224.0,6.63,18654.32
Pains,421.862,8142.0,19.3,63965.84
Pai Pedro,839.805,5551.0,6.61,9617.09
Paiva,58.419,1474.0,25.23,17996.58
Palma,316.476,5707.0,18.03,15693.82
Palmópolis,433.154,6301.0,14.55,12292.83
Papagaios,553.577,13920.0,25.15,23511.04
Paracatu,8231.029,94023.0,11.42,76144.41
Pará de Minas,551.247,97139.0,176.22,42098.58
Paraguaçu,424.296,21723.0,51.2,29998.34
Paraisópolis,331.238,20445.0,61.72,27752.05
Paraopeba,625.623,24107.0,38.53,36955.29
Passabém,94.183,1600.0,16.99,14574.0
Passa Quatro,277.221,15515.0,55.97,28737.93
Passa Tempo,429.172,8473.0,19.74,59808.53
Passa Vinte,246.565,2233.0,9.06,20794.2
Passos,1338.07,111939.0,83.66,26081.82
Patis,444.196,4837.0,10.89,9122.53
Patos de Minas,3190.456,159235.0,49.91,39738.04
Patrocínio,2874.344,89826.0,31.25,39932.3
Patrocínio do Muriaé,108.246,5576.0,51.51,20206.33
Paula Cândido,268.321,8659.0,32.27,14255.97
Paulistas,220.564,4389.0,19.9,14048.81
Pavão,601.19,8047.0,13.39,11093.87
Peçanha,996.646,17446.0,17.5,15407.09
Pedra Azul,1594.651,24410.0,15.31,16498.08
Pedra Bonita,173.928,7320.0,42.09,13480.12
Pedra do Anta,173.168,3311.0,19.12,19502.49
Pedra do Indaiá,347.92,4112.0,11.82,29206.43
Pedra Dourada,69.99,2757.0,39.39,16527.2
Pedralva,217.989,10760.0,49.36,16460.4
Pedras de Maria da Cruz,1525.648,10433.0,6.84,8900.37
Pedrinópolis,357.891,3344.0,9.34,55906.67
Pedro Leopoldo,292.831,62580.0,213.71,29763.4
Pedro Teixeira,112.959,1810.0,16.02,16778.21
Pequeri,90.833,3351.0,36.89,18724.66
Pequi,203.991,4155.0,20.37,19184.76
Perdigão,249.322,12268.0,49.21,18941.95
Perdizes,2451.112,17151.0,7.0,98918.71
Perdões,270.657,21384.0,79.01,29060.6
Periquito,228.907,6553.0,28.63,16574.4
Pescador,317.463,3570.0,11.25,11054.09
Piau,192.196,2796.0,14.55,34082.97
Piedade de Caratinga,109.345,8529.0,78.0,15939.53
Piedade de Ponte Nova,83.733,3976.0,47.48,15149.65
Piedade do Rio Grande,322.814,4604.0,14.26,24887.48
Piedade dos Gerais,259.638,5019.0,19.33,17842.82
Pimenta,414.969,8563.0,20.64,32326.06
Pingo-d'Água,66.57,4706.0,70.69,10483.1
Pintópolis,1228.736,7084.0,5.77,9445.44
Piracema,280.335,6700.0,23.9,47478.8
Pirajuba,337.98,5537.0,16.38,62212.95
Piranga,658.812,17018.0,25.83,11347.31
Piranguçu,203.619,6041.0,29.67,14238.45
Piranguinho,124.803,9120.0,73.08,15671.86
Pirapetinga,190.681,11077.0,58.09,59224.34
Pirapora,549.514,55606.0,101.19,50580.69
Piraúba,144.289,11610.0,80.46,18697.86
Pitangui,569.636,26685.0,46.85,26073.15
Piumhi,902.468,36062.0,39.96,36452.59
Planura,317.52,11145.0,35.1,46149.3
Poço Fundo,474.244,16390.0,34.56,23897.47
Poços de Caldas,546.958,163742.0,299.37,50234.29
Pocrane,691.066,8350.0,12.08,14686.18
Pompéu,2551.074,31047.0,12.17,36287.11
Ponte Nova,470.643,57776.0,122.76,35748.11
Ponto Chique,602.799,3747.0,6.22,12096.62
Ponto dos Volantes,1212.413,10883.0,8.98,10016.81
Porteirinha,1749.683,37438.0,21.4,13931.71
Porto Firme,284.777,10569.0,37.11,11411.12
Poté,625.111,13666.0,21.86,10122.67
Pouso Alegre,542.797,152217.0,280.43,69478.81
Pouso Alto,263.034,6566.0,24.96,47333.42
Prados,264.115,9048.0,34.26,25109.69
Prata,4847.544,28342.0,5.85,45907.1
Pratápolis,215.516,8406.0,39.0,26805.27
Pratinha,622.478,3559.0,5.72,42299.41
Presidente Bernardes,236.798,4850.0,20.48,12740.53
Presidente Juscelino,695.882,3465.0,4.98,13744.52
Presidente Kubitschek,189.235,3071.0,16.23,12064.56
Presidente Olegário,3503.848,18765.0,5.36,37169.17
Alto Jequitibá,152.272,8397.0,55.14,15158.56
Prudente de Morais,124.189,11466.0,92.33,18583.47
Quartel Geral,556.436,3179.0,5.71,21546.08
Queluzito,153.56,1770.0,11.53,20557.6
Raposos,72.228,16279.0,225.38,11738.63
Raul Soares,763.364,23423.0,30.68,17893.53
Recreio,234.296,11007.0,46.98,11720.36
Reduto,151.859,7848.0,51.68,16727.6
Resende Costa,618.312,11230.0,18.16,17924.97
Resplendor,1081.796,17226.0,15.92,15972.45
Ressaquinha,183.062,4548.0,24.84,77296.87
Riachinho,1719.266,6863.0,3.99,19338.76
Riacho dos Machados,1315.54,8756.0,6.66,56250.5
Ribeirão das Neves,155.105,329794.0,2126.26,15177.16
Ribeirão Vermelho,49.251,4080.0,82.84,25941.3
Rio Acima,228.394,10261.0,44.93,44894.6
Rio Casca,384.381,12789.0,33.27,17735.11
Rio Doce,112.094,2484.0,22.16,19723.72
Rio do Prado,479.815,4639.0,9.67,10293.72
Rio Espera,238.602,5429.0,22.75,11179.64
Rio Manso,231.54,5568.0,24.05,19200.76
Rio Novo,209.31,8518.0,40.7,13398.92
Rio Paranaíba,1352.353,14532.0,10.75,73353.29
Rio Pardo de Minas,3117.675,28271.0,9.07,11082.95
Rio Piracicaba,373.037,14631.0,39.22,93493.98
Rio Pomba,252.418,17443.0,69.1,23182.02
Rio Preto,348.046,5141.0,14.77,12594.6
Rio Vermelho,986.561,12641.0,12.81,11141.09
Ritápolis,404.805,4994.0,12.34,19986.09
Rochedo de Minas,79.402,2291.0,28.85,49137.34
Rodeiro,72.673,8664.0,119.22,66014.18
Romaria,407.557,3386.0,8.31,77429.93
Rosário da Limeira,111.156,4734.0,42.59,14573.75
Rubelita,1110.295,5679.0,5.11,14277.94
Rubim,965.174,10298.0,10.67,10879.32
Sabará,302.453,129380.0,427.77,30474.48
Sabinópolis,919.811,14240.0,15.48,21787.62
Sacramento,3073.268,26670.0,8.68,78738.77
Salinas,1862.117,40178.0,21.58,15942.32
Salto da Divisa,938.008,6110.0,6.51,18829.72
Santa Bárbara,684.505,30466.0,44.51,51093.18
Santa Bárbara do Leste,107.402,8458.0,78.75,13595.98
Santa Bárbara do Monte Verde,417.925,3095.0,7.41,17510.49
Santa Bárbara do Tugúrio,194.564,4208.0,21.63,16098.97
Santa Cruz de Minas,3.565,8109.0,2274.61,11867.33
Santa Cruz de Salinas,589.607,3910.0,6.63,12029.68
Santa Cruz do Escalvado,258.726,4673.0,18.06,16399.94
Santa Efigênia de Minas,131.965,4039.0,30.61,11717.67
Santa Fé de Minas,2917.448,3522.0,1.21,15749.38
Santa Helena de Minas,276.433,5938.0,21.48,9046.39
Santa Juliana,723.784,15734.0,21.74,59355.88
Santa Luzia,235.205,219132.0,931.66,23863.19
Santa Margarida,255.73,16395.0,64.11,21598.4
Santa Maria de Itabira,597.441,10485.0,17.55,24757.78
Santa Maria do Salto,440.605,4755.0,10.79,9608.97
Santa Maria do Suaçuí,624.047,12788.0,20.49,11695.78
Santana da Vargem,172.444,6691.0,38.8,34469.93
Santana de Cataguases,161.486,3489.0,21.61,12773.83
Santana de Pirapama,1255.832,7030.0,5.6,15479.54
Santana do Deserto,182.655,3747.0,20.51,11889.16
Santana do Garambéu,203.074,2137.0,10.52,15700.64
Santana do Jacaré,106.169,4214.0,39.69,21867.84
Santana do Manhuaçu,347.362,8987.0,25.87,21922.2
Santana do Paraíso,276.067,44800.0,162.28,20818.42
Santana do Riacho,677.207,5313.0,7.85,23947.0
Santana dos Montes,196.565,3469.0,17.65,13286.87
Santa Rita de Caldas,503.011,8460.0,16.82,25612.88
Santa Rita de Jacutinga,420.94,4755.0,11.3,15448.41
Santa Rita de Minas,68.153,6773.0,99.38,20733.84
Santa Rita de Ibitipoca,324.234,3301.0,10.18,18272.52
Santa Rita do Itueto,485.081,5826.0,12.01,33004.29
Santa Rita do Sapucaí,352.969,40635.0,115.12,43969.93
Santa Rosa da Serra,284.334,3382.0,11.89,30331.26
Santa Vitória,2998.364,20973.0,6.99,40140.53
Santo Antônio do Amparo,488.885,17285.0,35.36,18956.63
Santo Antônio do Aventureiro,202.032,3769.0,18.66,18856.11
Santo Antônio do Grama,130.213,4229.0,32.48,22189.15
Santo Antônio do Itambé,305.737,3915.0,12.81,11880.62
Santo Antônio do Jacinto,503.706,10327.0,20.5,9900.93
Santo Antônio do Monte,1125.78,27295.0,24.25,29473.46
Santo Antônio do Retiro,796.29,6629.0,8.32,9670.55
Santo Antônio do Rio Abaixo,107.269,1808.0,16.85,16228.63
Santo Hipólito,430.656,2717.0,6.31,16491.4
Santos Dumont,637.373,42406.0,66.53,23793.1
São Bento Abade,80.403,4713.0,58.62,16505.34
São Brás do Suaçuí,110.019,3989.0,36.26,21354.17
São Domingos das Dores,60.865,5626.0,92.43,16117.24
São Domingos do Prata,743.768,17392.0,23.38,18125.06
São Félix de Minas,162.56,3200.0,19.69,13087.33
São Francisco,3308.1,52762.0,15.95,11446.32
São Francisco de Paula,316.822,6187.0,19.53,23108.24
São Francisco de Sales,1128.864,5732.0,5.08,30763.55
São Francisco do Glória,164.613,4800.0,29.16,15251.54
São Geraldo,185.578,10282.0,55.41,20738.3
São Geraldo da Piedade,152.336,3305.0,21.7,11611.66
São Geraldo do Baixio,280.954,3143.0,11.19,12169.53
São Gonçalo do Abaeté,2692.545,7375.0,2.74,38182.29
São Gonçalo do Pará,265.73,11770.0,44.29,24361.9
São Gonçalo do Rio Abaixo,363.828,11850.0,32.57,684168.71
São Gonçalo do Sapucaí,516.683,23959.0,46.37,38470.78
São Gotardo,866.087,40910.0,47.24,32960.88
São João Batista do Glória,547.908,7652.0,13.97,35560.06
São João da Lagoa,998.015,4822.0,4.83,12208.13
São João da Mata,120.536,2914.0,24.18,20081.08
São João da Ponte,1851.102,23930.0,12.93,10741.62
São João das Missões,678.274,13024.0,19.2,6983.08
São João del Rei,1452.002,90225.0,62.14,33059.97
São João do Manhuaçu,143.096,11246.0,78.59,15536.64
São João do Manteninha,137.928,5331.0,38.65,13597.23
São João do Oriente,120.122,7070.0,58.86,13780.13
São João do Pacuí,415.922,3972.0,9.55,9974.47
São João do Paraíso,1925.575,23910.0,12.42,11979.66
São João Evangelista,478.183,15315.0,32.03,16059.13
São João Nepomuceno,407.427,25565.0,62.75,19084.4
São Joaquim de Bicas,71.758,34348.0,478.66,33134.13
São José da Barra,308.319,7793.0,25.28,118358.54
São José da Lapa,47.93,26090.0,544.34,25528.59
São José da Safira,213.881,3806.0,17.79,11549.69
São José da Varginha,205.501,4536.0,22.07,22210.65
São José do Alegre,88.794,4133.0,46.55,13723.34
São José do Divino,328.704,3464.0,10.54,13774.55
São José do Goiabal,189.578,5396.0,28.46,12581.76
São José do Jacuri,345.146,6197.0,17.95,15589.16
São José do Mantimento,54.701,2753.0,50.33,15659.26
São Lourenço,58.019,44798.0,772.13,25310.43
São Miguel do Anta,152.111,6334.0,41.64,15122.87
São Pedro da União,260.827,4885.0,18.73,32471.15
São Pedro dos Ferros,402.739,7166.0,17.79,17606.8
São Pedro do Suaçuí,308.106,5103.0,16.56,15850.23
São Romão,2434.004,10315.0,4.24,19123.79
São Roque de Minas,2098.867,7129.0,3.4,45519.05
São Sebastião da Bela Vista,167.428,6387.0,38.15,79135.44
São Sebastião da Vargem Alegre,73.629,3113.0,42.28,21986.02
São Sebastião do Anta,80.618,6194.0,76.83,15565.34
São Sebastião do Maranhão,517.83,10079.0,19.46,10199.95
São Sebastião do Oeste,408.09,8815.0,21.6,85924.5
São Sebastião do Paraíso,814.925,71796.0,88.1,31099.51
São Sebastião do Rio Preto,128.002,1259.0,9.84,17571.23
São Sebastião do Rio Verde,90.848,2300.0,25.32,15800.11
São Tiago,572.4,11192.0,19.55,22414.96
São Tomás de Aquino,277.928,6740.0,24.25,27976.08
São Tomé das Letras,369.747,6904.0,18.67,19208.82
São Vicente de Minas,392.651,6804.0,17.33,26169.34
Sapucaí-Mirim,285.073,6311.0,22.14,15652.58
Sardoá,141.904,5104.0,35.97,10715.08
Sarzedo,62.134,36844.0,592.98,64346.33
Setubinha,534.655,9917.0,18.55,9820.38
Sem-Peixe,176.634,2433.0,13.77,14216.64
Senador Amaral,151.097,6206.0,41.07,16672.42
Senador Cortes,98.336,2240.0,22.78,19007.94
Senador Firmino,166.495,7716.0,46.34,13512.67
Senador José Bento,93.892,2068.0,22.03,24962.26
Senador Modestino Gonçalves,952.055,4008.0,4.21,22733.52
Senhora de Oliveira,170.749,5483.0,32.11,14013.7
Senhora do Porto,381.328,3067.0,8.04,14157.59
Senhora dos Remédios,237.815,10384.0,43.66,11053.0
Sericita,166.012,7345.0,44.24,14303.08
Seritinga,114.769,1819.0,15.85,24357.44
Serra Azul de Minas,218.595,3792.0,17.35,10499.95
Serra da Saudade,335.659,833.0,2.48,28392.42
Serra dos Aimorés,213.574,6944.0,32.51,10433.7
Serra do Salitre,1295.272,11801.0,9.11,83678.44
Serrania,209.27,7621.0,36.42,21083.52
Serranópolis de Minas,551.954,4399.0,7.97,9813.13
Serranos,213.173,1990.0,9.34,19785.54
Serro,1217.813,21952.0,18.03,13982.29
Sete Lagoas,536.928,227397.0,423.51,51894.81
Silveirânia,157.456,2323.0,14.75,15505.21
Silvianópolis,312.166,6179.0,19.79,22619.95
Simão Pereira,135.689,2947.0,21.72,39707.08
Simonésia,486.543,19750.0,40.59,14383.71
Sobrália,206.787,5137.0,24.84,12303.29
Soledade de Minas,196.866,5613.0,28.51,13150.84
Tabuleiro,211.084,4014.0,19.02,17915.28
Taiobeiras,1220.046,33050.0,27.09,16085.74
Taparuba,193.082,3387.0,17.54,15864.94
Tapira,1179.248,4118.0,3.49,140948.55
Tapiraí,407.92,1690.0,4.14,29984.35
Taquaraçu de Minas,329.287,4224.0,12.83,16000.68
Tarumirim,731.753,14709.0,20.1,13189.15
Teixeiras,166.735,12255.0,73.5,16380.33
Teófilo Otoni,3242.27,137418.0,42.38,20893.97
Timóteo,144.381,81579.0,565.03,61482.0
Tiradentes,83.047,7744.0,93.25,25209.23
Tiros,2091.774,7883.0,3.77,59641.82
Tocantins,173.866,16185.0,93.09,20853.44
Tocos do Moji,114.705,3826.0,33.36,17177.37
Toledo,136.776,7214.0,52.74,16912.97
Tombos,285.124,8609.0,30.19,17047.93
Três Corações,828.038,75485.0,91.16,36734.42
Três Marias,2678.253,28895.0,10.79,95324.95
Três Pontas,689.794,55255.0,80.1,32896.24
Tumiritinga,500.073,5886.0,11.77,12198.83
Tupaciguara,1822.53,25470.0,13.98,37169.53
Turmalina,1153.111,20000.0,17.34,21879.01
Turvolândia,221.0,4935.0,22.33,27420.97
Ubá,407.452,103365.0,253.69,30288.91
Ubaí,820.524,11708.0,14.27,9258.29
Ubaporanga,189.045,13017.0,68.86,13424.24
Uberaba,4523.957,337836.0,74.68,59943.87
Uberlândia,4115.206,713224.0,173.31,61038.02
Umburatiba,405.834,2684.0,6.61,17107.6
Unaí,8445.432,86619.0,10.26,50544.26
União de Minas,1147.407,3828.0,3.34,30580.0
Uruana de Minas,598.221,3282.0,5.49,29820.95
Urucânia,138.792,10600.0,76.37,23226.29
Urucuia,2076.942,17479.0,8.42,11061.34
Vargem Alegre,116.664,5780.0,49.54,11970.81
Vargem Bonita,409.888,2158.0,5.26,40894.45
Vargem Grande do Rio Pardo,491.512,4633.0,9.43,13504.4
Varginha,395.396,136467.0,345.14,58817.87
Varjão de Minas,651.505,6969.0,10.7,43704.06
Várzea da Palma,2220.279,33744.0,15.2,26623.1
Varzelândia,814.994,18840.0,23.12,9704.8
Vazante,1913.396,19975.0,10.44,56478.26
Verdelândia,1570.582,7672.0,4.88,12118.32
Veredinha,631.692,5181.0,8.2,23208.11
Veríssimo,1031.823,3411.0,3.31,41671.0
Vermelho Novo,115.242,4899.0,42.51,13235.02
Vespasiano,71.04,129246.0,1819.34,22909.06
Viçosa,299.418,76430.0,255.26,22673.74
Vieiras,112.691,3700.0,32.83,14974.51
Mathias Lobato,172.297,3038.0,17.63,13915.37
Virgem da Lapa,868.914,11804.0,13.58,9585.82
Virgínia,326.515,8908.0,27.28,20855.96
Virginópolis,439.878,10314.0,23.45,17587.98
Virgolândia,281.022,4552.0,16.2,11818.51
Visconde do Rio Branco,243.351,39160.0,160.92,31179.87
Volta Grande,205.552,4443.0,21.61,26633.91
Wenceslau Braz,102.487,2356.0,22.99,13011.59
Abatiá,228.717,7241.0,31.66,30140.55
Adrianópolis,1349.311,6256.0,4.64,63631.39
Agudos do Sul,192.261,10233.0,53.22,22674.09
Almirante Tamandaré,194.228,119825.0,616.93,15947.74
Altamira do Paraná,386.945,3590.0,9.28,67332.6
Altônia,661.56,18742.0,28.33,20747.69
Alto Paraná,407.719,13909.0,34.11,29192.99
Alto Piquiri,447.666,9727.0,21.73,42092.67
Alvorada do Sul,424.25,10326.0,24.34,29176.4
Amaporã,384.735,4762.0,12.38,18911.54
Ampére,298.349,19620.0,65.76,38549.37
Anahy,102.895,2918.0,28.36,41475.92
Andirá,235.944,19878.0,84.25,41191.94
Ângulo,106.021,3235.0,30.51,52613.12
Antonina,891.582,18091.0,20.29,37048.49
Antônio Olinto,469.62,7018.0,14.94,31445.78
Apucarana,556.99,130134.0,233.64,28189.54
Arapongas,382.215,119138.0,311.7,39149.76
Arapoti,1358.176,25777.0,18.98,50824.66
Arapuã,217.371,3527.0,16.23,51561.44
Araruna,493.191,14485.0,29.37,39018.11
Araucária,469.24,151666.0,323.22,170125.52
Ariranha do Ivaí,234.076,2329.0,9.95,63664.72
Assaí,440.347,13797.0,31.33,36478.15
Assis Chateaubriand,980.727,36808.0,37.53,49040.24
Astorga,434.792,25475.0,58.59,33567.88
Atalaia,137.663,3980.0,28.91,45806.54
Balsa Nova,348.926,13395.0,38.39,69966.95
Bandeirantes,445.192,31273.0,70.25,33274.08
Barbosa Ferraz,538.636,10795.0,20.04,26524.95
Barracão,161.213,9759.0,60.53,25538.63
Barra do Jacaré,115.855,2814.0,24.29,53994.67
Bela Vista da Caroba,148.107,4031.0,27.22,31414.33
Bela Vista do Paraíso,242.689,14833.0,61.12,34014.05
Bituruna,1234.946,15533.0,12.58,33658.71
Boa Esperança,302.739,4558.0,15.06,71587.36
Boa Esperança do Iguaçu,151.797,2455.0,16.17,58521.93
Boa Ventura de São Roque,620.453,6378.0,10.28,56993.31
Boa Vista da Aparecida,266.175,7924.0,29.77,24632.62
Bocaiúva do Sul,825.665,13299.0,16.11,21066.48
Bom Jesus do Sul,176.129,3980.0,22.6,33318.79
Bom Sucesso,322.755,6581.0,20.39,22143.17
Bom Sucesso do Sul,195.931,3202.0,16.34,92499.86
Borrazópolis,334.378,7735.0,23.13,39060.72
Braganey,343.321,4854.0,14.14,45249.28
Brasilândia do Sul,291.036,3708.0,12.74,109465.23
Cafeara,185.8,2627.0,14.14,38364.98
Cafelândia,274.904,18997.0,69.1,103778.69
Cafezal do Sul,335.392,4473.0,13.34,37483.08
Califórnia,141.817,8710.0,61.42,29304.69
Cambará,366.153,23212.0,63.39,32034.21
Cambé,495.375,107208.0,216.42,46520.49
Cambira,164.786,9460.0,57.41,35173.74
Campina da Lagoa,796.614,15723.0,19.74,41647.39
Campina do Simão,448.424,3936.0,8.78,39254.11
Campina Grande do Sul,539.245,47825.0,88.69,49376.42
Campo Bonito,433.832,4027.0,9.28,60821.41
Campo do Tenente,304.488,7508.0,24.66,32185.94
Campo Largo,1243.551,136327.0,109.63,42257.57
Campo Magro,275.352,30160.0,109.53,17964.99
Campo Mourão,749.637,99432.0,132.64,53562.73
Cândido de Abreu,1510.16,15244.0,10.09,28869.34
Candói,1512.786,14973.0,9.9,52715.43
Cantagalo,583.304,10933.0,18.74,25184.85
Capanema,419.036,20481.0,48.88,57726.48
Capitão Leônidas Marques,280.063,14648.0,52.3,79030.78
Carambeí,649.68,23283.0,35.84,65176.2
Carlópolis,451.418,16905.0,37.45,31871.53
Cascavel,2091.199,348051.0,166.44,46976.49
Castro,2531.503,73075.0,28.87,50347.9
Catanduvas,580.421,10446.0,18.0,35091.66
Centenário do Sul,371.834,10832.0,29.13,40960.07
Cerro Azul,1341.189,16134.0,12.03,22652.48
Céu Azul,1179.449,11087.0,9.4,79412.65
Chopinzinho,959.692,21085.0,21.97,47651.2
Cianorte,811.666,79527.0,97.98,35771.57
Cidade Gaúcha,403.045,11467.0,28.45,33349.14
Clevelândia,703.638,15070.0,21.42,51273.61
Colombo,197.58,232212.0,1175.28,22842.86
Colorado,407.568,22896.0,56.18,32809.41
Congonhinhas,535.963,8320.0,15.52,32108.39
Conselheiro Mairinck,204.705,3461.0,16.91,39176.79
Contenda,299.037,19128.0,63.97,29222.03
Corbélia,529.137,17470.0,33.02,62009.98
Cornélio Procópio,635.1,45206.0,71.18,37882.76
Coronel Domingos Soares,1556.186,5649.0,3.63,42947.64
Coronel Vivida,684.417,23331.0,34.09,43433.82
Corumbataí do Sul,164.341,3760.0,22.88,28866.17
Cruzeiro do Iguaçu,161.862,4133.0,25.53,41898.39
Cruzeiro do Oeste,775.984,23831.0,30.71,40998.59
Cruzeiro do Sul,259.103,4494.0,17.34,46357.24
Cruz Machado,1478.35,15978.0,10.81,26907.14
Cruzmaltina,312.299,2892.0,9.26,52273.46
Curitiba,434.892,1773718.0,4078.53,49907.02
Curiúva,576.263,13647.0,23.68,18055.67
Diamante do Norte,242.887,5142.0,21.17,59944.36
Diamante do Sul,347.233,3171.0,9.13,21926.22
Diamante D´Oeste,309.11,4557.0,14.74,24255.65
Dois Vizinhos,418.648,44869.0,107.18,48921.89
Douradina,420.604,9161.0,21.78,93597.1
Doutor Camargo,118.279,6327.0,53.49,33469.25
Enéas Marques,192.203,5999.0,31.21,52715.48
Engenheiro Beltrão,467.47,12454.0,26.64,40584.18
Esperança Nova,141.286,1849.0,13.09,39954.49
Entre Rios do Oeste,120.967,4575.0,37.82,67333.74
Espigão Alto do Iguaçu,326.44,4797.0,14.69,40911.0
Farol,289.232,3039.0,10.51,72035.16
Faxinal,715.943,16389.0,22.89,28779.4
Fazenda Rio Grande,116.678,148873.0,1275.93,31927.39
Fênix,234.099,4492.0,19.19,44967.52
Fernandes Pinheiro,406.5,6255.0,15.39,45649.28
Figueira,129.769,8062.0,62.13,21181.49
Floraí,191.133,4792.0,25.07,49000.9
Flor da Serra do Sul,255.721,4364.0,17.07,39855.65
