Município,Área Territorial - km² [2022],População residente - pessoas [2022],Densidade demográfica - hab/km² [2022],PIB per capita - R$ [2021]
Orindiúva,247.378,6024.0,24.35,87570.54
Orlândia,291.765,38319.0,131.34,57728.08
Osasco,64.954,728615.0,11217.4,122765.64
Oscar Bressane,222.13,2470.0,11.12,43366.02
Osvaldo Cruz,248.038,31272.0,126.08,32836.81
Ourinhos,295.818,103970.0,351.47,34406.86
Ouroeste,288.648,10294.0,35.66,51226.69
Ouro Verde,266.778,7779.0,29.16,15558.53
Pacaembu,339.375,14877.0,43.84,15195.79
Palestina,697.701,11476.0,16.45,31646.21
Palmares Paulista,82.125,9650.0,117.5,9964.11
Palmeira d'Oeste,318.74,8903.0,27.93,23443.85
Palmital,548.407,19594.0,35.73,40347.04
Panorama,356.05,14964.0,42.03,19933.87
Paraguaçu Paulista,1001.492,41120.0,41.06,39015.76
Paraibuna,809.576,17667.0,21.82,19220.43
Paraíso,155.186,6099.0,39.3,42122.5
Paranapanema,1018.724,19395.0,19.04,45907.58
Paranapuã,140.354,4031.0,28.72,32360.15
Parapuã,366.664,10580.0,28.85,67842.13
Pardinho,209.894,7153.0,34.08,55976.73
Pariquera-Açu,359.414,19233.0,53.51,29601.64
Parisi,84.737,2892.0,34.13,24630.17
Patrocínio Paulista,602.848,14512.0,24.07,91078.82
Paulicéia,374.091,7955.0,21.26,26544.4
Paulínia,138.777,110537.0,796.51,457517.7
Paulistânia,256.178,2090.0,8.16,26505.01
Paulo de Faria,737.986,7400.0,10.03,30054.05
Pederneiras,727.482,44827.0,61.62,64521.62
Pedra Bela,158.587,6557.0,41.35,19271.43
Pedranópolis,260.101,2787.0,10.72,32369.01
Pedregulho,712.604,15525.0,21.79,102593.26
Pedreira,108.817,43112.0,396.19,30658.23
Pedrinhas Paulista,152.309,2804.0,18.41,56819.68
Pedro de Toledo,670.44,11281.0,16.83,15521.76
Penápolis,711.315,61679.0,86.71,32488.66
Pereira Barreto,974.247,24095.0,24.73,42339.32
Pereiras,223.136,8737.0,39.16,35826.95
Peruíbe,326.216,68352.0,209.53,28211.36
Piacatu,232.488,5519.0,23.74,19534.68
Piedade,746.868,52970.0,70.92,28657.0
Pilar do Sul,681.248,27619.0,40.54,43096.72
Pindamonhangaba,731.355,165428.0,226.19,79951.7
Pindorama,184.825,14542.0,78.68,28703.01
Pinhalzinho,154.529,15224.0,98.52,20216.61
Piquerobi,482.769,3264.0,6.76,18103.98
Piquete,175.996,12490.0,70.97,14661.29
Piracaia,385.568,26029.0,67.51,23959.72
Piracicaba,1378.069,423323.0,307.19,84225.76
Piraju,504.591,29436.0,58.34,30945.65
Pirajuí,823.758,22431.0,27.23,20820.31
Pirangi,215.809,10885.0,50.44,31655.48
Pirapora do Bom Jesus,108.489,18370.0,169.33,42495.88
Pirapozinho,477.673,25348.0,53.07,33165.84
