"Local","Populacao"
"São José dos Pinhais", 329628
"São Manoel do Paraná", 2138
"São Mateus do Sul", 42366
"São Miguel do Iguaçu", 29122
"São Pedro do Iguaçu", 5784
"São Pedro do Ivaí", 8690
"São Pedro do Paraná", 2661
"São Sebastião da Amoreira", 8063
"São Tomé", 5232
"Sapopema", 6695
"Sarandi", 118455
"Saudade do Iguaçu", 6108
"Sengés", 17270
"Serranópolis do Iguaçu", 5007
"Sertaneja", 5616
"Sertanópolis", 15930
"Siqueira Campos", 22811
"Sulina", 3440
"Tamarana", 10707
"Tamboara", 4880
"Tapejara", 15869
"Tapira", 5745
"Teixeira Soares", 9547
"Telêmaco Borba", 75042
"Terra Boa", 17568
"Terra Rica", 14842
"Terra Roxa", 18119
"Tibagi", 19961
"Tijucas do Sul", 17621
"Toledo", 150470
"Tomazina", 8426
"Três Barras do Paraná", 11135
"Tunas do Paraná", 6219
"Tuneiras do Oeste", 8067
"Tupãssi", 8077
"Turvo", 14231
"Ubiratã", 24749
"Umuarama", 117095
"União da Vitória", 55033
"Uniflor", 2136
"Uraí", 10406
"Wenceslau Braz", 19188
"Ventania", 9681
"Vera Cruz do Oeste", 8215
"Verê", 7932
"Alto Paraíso", 3055
"Doutor Ulysses", 5697
"Virmond", 3811
"Vitorino", 9706
"Xambrê", 5798
