Município,Área colhida (Hectares),Valor da produção (Mil Reais)
Fartura,10200,75447
Ipaussu,18948,188034
Manduri,12295,119326
Óleo,13428,132006
Ourinhos,22254,211639
Piraju,19781,162326
Ribeirão do Sul,25459,180192
Salto Grande,23352,121677
Santa Cruz do Rio Pardo,70952,527235
São Pedro do Turvo,26361,212132
Sarutaiá,6050,46821
Taguaí,6060,38543
Tejupá,7360,43986
Timburi,1070,9031
Itapetininga,761037,9254915
Itapeva,507351,5608134
Barão de Antonina,5388,79040
Bom Sucesso de Itararé,189,5203
Buri,52115,448286
Coronel Macedo,23701,206213
Itaberá,87703,841106
Itapeva,189022,2402516
Itaporanga,24821,229581
Itararé,51194,557931
Nova Campina,1229,47221
Riversul,8074,74142
Taquarituba,42262,442633
Taquarivaí,21653,274263
Itapetininga,96638,1163121
Alambari,5040,53018
Angatuba,19932,249665
Campina do Monte Alegre,12247,134115
Guareí,6579,72645
Itapetininga,52840,653678
Tatuí,67907,817584
Boituva,7221,127844
Cerquilho,6332,68865
Cesário Lange,16851,195233
Laranjal Paulista,4764,41017
Pereiras,767,8365
Porangaba,982,10126
Quadra,9936,107234
Tatuí,21025,258584
Torre de Pedra,29,319
Capão Bonito,89141,1666077
Apiaí,8312,377876
Barra do Chapéu,1491,111789
Capão Bonito,49305,602138
Guapiara,15949,261892
Iporanga,339,2358
Itaoca,263,8106
Itapirapuã Paulista,184,1932
Ribeira,257,3270
Ribeirão Branco,7813,241714
Ribeirão Grande,5228,55006
Macro Metropolitana Paulista,110477,1331837
Piedade,51969,753924
Ibiúna,3876,78638
Piedade,2242,71161
Pilar do Sul,20921,242438
São Miguel Arcanjo,24900,361210
Tapiraí,30,480
Sorocaba,41158,388909
Alumínio,271,2550
Araçariguama,166,1307
Araçoiaba da Serra,3237,33812
Cabreúva,120,646
Capela do Alto,2952,34089
Iperó,1968,26291
Itu,2372,18985
Mairinque,734,6293
Porto Feliz,16200,133692
Salto,1835,13812
Salto de Pirapora,3785,33931
São Roque,1457,15366
Sarapuí,3799,45462
Sorocaba,1421,14924
Votorantim,841,7750
Jundiaí,2217,28189
Itupeva,1839,24742
Jundiaí,296,2784
Louveira,82,663
Bragança Paulista,15133,160817
Atibaia,2544,20946
Bom Jesus dos Perdões,39,716
Bragança Paulista,5210,60642
Itatiba,1432,9781
Jarinu,455,4086
Joanópolis,277,9149
Morungaba,1139,12911
Nazaré Paulista,405,2700
Piracaia,262,3219
Tuiuti,1925,21473
Vargem,1445,15192
Vale do Paraíba Paulista,21032,204521
Campos do Jordão,145,4928
Monteiro Lobato,15,144
Santo Antônio do Pinhal,35,4038
São Bento do Sapucaí,95,746
São José dos Campos,9365,92043
Caçapava,3440,37617
Igaratá,1,5
Jacareí,17,1167
Pindamonhangaba,3288,28195
Santa Branca,5,27
São José dos Campos,150,1350
Taubaté,1204,12407
Tremembé,1260,11275
Guaratinguetá,9271,88452
Aparecida,310,2888
Cachoeira Paulista,346,6751
Canas,400,3480
Cruzeiro,232,4654
Guaratinguetá,4265,36863
Lavrinhas,59,964
Lorena,271,2111
Piquete,10,31
Potim,1220,11126
Queluz,58,355
Roseira,2100,19227
Bananal,745,4258
Arapeí,99,543
Areias,127,748
Bananal,358,1880
São José do Barreiro,102,514
Silveiras,59,574
Paraibuna/Paraitinga,1481,14511
Cunha,830,5128
Jambeiro,74,557
Lagoinha,210,1371
Natividade da Serra,122,2783
Paraibuna,20,180
Redenção da Serra,23,928
São Luiz do Paraitinga,202,3565
Caraguatatuba,25,331
Caraguatatuba,11,255
São Sebastião,4,46
Ubatuba,10,31
Litoral Sul Paulista,4390,34519
Registro,4300,32291
Barra do Turvo,295,769
Cajati,164,2236
Cananéia,135,2680
Eldorado,133,499
Iguape,2242,15417
Jacupiranga,68,342
Juquiá,82,864
Miracatu,20,272
Pariquera-Açu,210,2544
Registro,586,3468
Sete Barras,365,3203
Itanhaém,90,2228
Itanhaém,15,417
Itariri,45,641
Pedro de Toledo,20,750
Peruíbe,10,420
Metropolitana de São Paulo,595,43070
Franco da Rocha,21,102
Caieiras,1,-
Franco da Rocha,20,102
Guarulhos,11,133
Santa Isabel,11,133
Itapecerica da Serra,7,283
Embu-Guaçu,7,283
São Paulo,80,3240
São Paulo,80,3240
Mogi das Cruzes,476,39311
Biritiba Mirim,38,1592
Guararema,151,9451
Mogi das Cruzes,264,26080
Salesópolis,18,2137
Suzano,5,51
Minas Gerais,1170040,32968962
Noroeste de Minas,22207,1033823
Unaí,7304,386244
Arinos,14,969
Bonfinópolis de Minas,735,49864
Buritis,1159,61597
Cabeceira Grande,13,390
Dom Bosco,91,1293
Formoso,1355,69780
Natalândia,3,41
Unaí,3924,202119
Uruana de Minas,10,193
Paracatu,14903,647581
Brasilândia de Minas,9,233
Guarda-Mor,439,16601
João Pinheiro,4085,181797
Lagamar,410,20992
Lagoa Grande,237,16624
Paracatu,1624,78267
Presidente Olegário,5131,200637
São Gonçalo do Abaeté,670,16724
Varjão de Minas,2298,115711
Vazante,...,...
Norte de Minas,38200,1818227
Januária,4971,207263
Bonito de Minas,4,42
Chapada Gaúcha,2,32
Cônego Marinho,...,...
Icaraí de Minas,10,172
Itacarambi,248,11897
Januária,41,924
Juvenília,...,...
Manga,327,15981
Matias Cardoso,2944,117547
Miravânia,...,...
Montalvânia,355,12228
Pedras de Maria da Cruz,208,7497
Pintópolis,2,54
São Francisco,282,19597
São João das Missões,3,59
Urucuia,545,21233
Janaúba,16616,706498
Catuti,...,...
Espinosa,200,8894
Gameleiras,4,107
Jaíba,11171,468416
Janaúba,2444,116824
Mamonas,...,...
Mato Verde,5,81
Monte Azul,27,457
Nova Porteirinha,2507,104820
Pai Pedro,3,108
Porteirinha,242,6296
Riacho dos Machados,4,67
Serranópolis de Minas,9,430
Salinas,5790,306877
Águas Vermelhas,852,50954
Berizal,321,23173
Curral de Dentro,65,3040
Divisa Alegre,45,880
Fruta de Leite,18,222
Indaiabira,503,21337
Montezuma,4,63
Ninheira,1675,101751
Novorizonte,59,1085
Rio Pardo de Minas,719,33771
Rubelita,18,252
Salinas,118,2174
Santa Cruz de Salinas,12,163
Santo Antônio do Retiro,252,5593
São João do Paraíso,318,17104
Taiobeiras,597,36972
Vargem Grande do Rio Pardo,214,8349
Pirapora,6677,416263
Buritizeiro,1225,75295
Ibiaí,151,7918
Jequitaí,124,7437
Lagoa dos Patos,...,...
Lassance,851,64341
Pirapora,2189,140845
Riachinho,405,20328
Santa Fé de Minas,...,...
São Romão,...,...
Várzea da Palma,1732,100103
Montes Claros,3383,150566
Brasília de Minas,4,194
Campo Azul,...,...
Capitão Enéas,677,46990
Claro dos Poções,139,6133
Coração de Jesus,53,917
Francisco Sá,325,11756
Glaucilândia,37,1672
Ibiracatu,...,...
Japonvar,6,108
Juramento,1,39
Lontra,...,...
Luislândia,3,34
Mirabela,-,-
Montes Claros,658,28926
Patis,45,1863
Ponto Chique,5,46
São João da Lagoa,21,204
São João da Ponte,40,2005
São João do Pacuí,3,37
Ubaí,2,22
Varzelândia,15,428
Verdelândia,1349,49201
Grão Mogol,303,7018
Botumirim,70,1452
Cristália,18,369
Grão Mogol,190,4830
Itacambira,10,156
Josenópolis,5,72
Padre Carvalho,10,140
Bocaiúva,460,23747
Bocaiúva,314,17216
Engenheiro Navarro,38,831
Francisco Dumont,107,5688
Guaraciama,...,...
Olhos-d'Água,1,14
Jequitinhonha,20063,664960
Diamantina,1684,69992
Couto de Magalhães de Minas,9,129
Datas,53,1423
Diamantina,587,33442
Felício dos Santos,661,24141
Gouveia,80,3164
Presidente Kubitschek,43,804
São Gonçalo do Rio Preto,56,2404
Senador Modestino Gonçalves,195,4487
Capelinha,13313,446716
Angelândia,3475,140480
Aricanduva,822,20391
Berilo,211,6087
Capelinha,6479,208307
Carbonita,43,588
Chapada do Norte,8,190
Francisco Badaró,8,190
Itamarandiba,612,23671
Jenipapo de Minas,4,70
José Gonçalves de Minas,209,6083
Leme do Prado,76,3808
Minas Novas,450,15102
Turmalina,786,19180
Veredinha,130,2575
Araçuaí,2286,67443
Araçuaí,421,23567
Caraí,525,11988
Coronel Murta,7,126
Itinga,117,4393
Novo Cruzeiro,860,20575
Padre Paraíso,203,2771
Ponto dos Volantes,147,3942
Virgem da Lapa,6,83
Pedra Azul,323,6708
Cachoeira de Pajeú,21,233
Comercinho,20,226
Itaobim,201,4943
Medina,27,330
Pedra Azul,54,976
Almenara,2457,74106
Almenara,192,2892
Bandeira,75,1697
Divisópolis,909,23231
Felisburgo,25,456
Jacinto,9,119
Jequitinhonha,501,23709
Joaíma,75,1488
Jordânia,35,548
Mata Verde,573,19026
Monte Formoso,32,407
Palmópolis,7,88
Rio do Prado,...,...
Rubim,3,54
Salto da Divisa,12,286
Santa Maria do Salto,4,49
Santo Antônio do Jacinto,5,57
Vale do Mucuri,3412,73583
Teófilo Otoni,3301,71790
Ataléia,141,3232
Catuji,145,2625
Franciscópolis,111,2637
Frei Gaspar,64,1600
Itaipé,492,9579
Ladainha,342,5142
Malacacheta,472,14366
Novo Oriente de Minas,36,619
Ouro Verde de Minas,152,4427
Pavão,7,97
Poté,138,1919
Setubinha,864,18702
Teófilo Otoni,337,6845
Nanuque,111,1792
Águas Formosas,18,258
Bertópolis,3,26
Carlos Chagas,11,118
Crisólita,8,155
Fronteira dos Vales,4,55
Machacalis,...,...
Nanuque,10,311
Santa Helena de Minas,51,712
Serra dos Aimorés,6,158
Umburatiba,...,...
Triângulo Mineiro/Alto Paranaíba,238434,6882721
Ituiutaba,1391,49180
Cachoeira Dourada,1,180
Capinópolis,22,1471
Gurinhatã,291,15792
Ipiaçu,1,5
Ituiutaba,913,28877
Santa Vitória,163,2856
Uberlândia,39456,1186145
Araguari,13445,528770
Araporã,36,1141
Canápolis,369,8495
Cascalho Rico,464,24763
Centralina,220,6438
Indianópolis,4200,147144
Monte Alegre de Minas,2759,56296
Prata,12292,223783
Tupaciguara,307,10319
Uberlândia,5364,178997
Patrocínio,90675,2505108
Abadia dos Dourados,192,7937
Coromandel,7977,205668
Cruzeiro da Fortaleza,1089,35173
Douradoquara,3,54
Estrela do Sul,2320,71467
Grupiara,14,394
Iraí de Minas,1152,56109
Monte Carmelo,16934,602636
Patrocínio,37170,726574
Romaria,7613,298090
Serra do Salitre,16211,501009
Patos de Minas,47954,1599780
Arapuá,755,17918
Carmo do Paranaíba,10893,326151
Guimarânia,4130,104847
Lagoa Formosa,1024,43064
Matutina,249,9624
Patos de Minas,8916,363596
Rio Paranaíba,13873,392909
Santa Rosa da Serra,3726,186579
São Gotardo,2158,75028
Tiros,2230,80067
Frutal,22085,391350
Campina Verde,1496,32149
Carneirinho,544,8904
Comendador Gomes,7409,166234
Fronteira,130,704
Frutal,6969,123516
Itapagipe,327,5685
Iturama,2957,24189
Limeira do Oeste,102,1269
Pirajuba,50,428
Planura,375,10001
São Francisco de Sales,784,9331
União de Minas,942,8941
Uberaba,2669,80107
Água Comprida,402,6417
Campo Florido,315,4326
Conceição das Alagoas,386,10475
Conquista,12,519
Delta,10,288
Uberaba,1517,57435
Veríssimo,27,651
Araxá,34204,1071051
Araxá,3464,77418
Campos Altos,9806,341033
Ibiá,7003,161857
Nova Ponte,571,31433
Pedrinópolis,397,16312
Perdizes,5700,174936
Pratinha,3720,132014
Sacramento,2804,113290
Santa Juliana,123,5490
Tapira,616,17271
Central Mineira,2029,73469
Três Marias,437,19335
Abaeté,86,4874
Biquinhas,283,13026
Cedro do Abaeté,...,...
Morada Nova de Minas,-,-
Paineiras,9,213
Pompéu,36,734
Três Marias,23,488
Curvelo,930,29305
Augusto de Lima,63,1398
Buenópolis,83,1690
Corinto,18,295
Curvelo,630,20848
Felixlândia,32,789
Inimutaba,24,996
Joaquim Felício,11,174
Monjolos,19,422
Morro da Garça,-,-
Presidente Juscelino,16,381
Santo Hipólito,34,2312
Bom Despacho,662,24831
Araújos,3,40
Bom Despacho,90,3386
Dores do Indaiá,...,...
Estrela do Indaiá,207,7793
Japaraíba,2,29
Lagoa da Prata,7,105
Leandro Ferreira,1,24
Luz,176,3713
Martinho Campos,5,188
Moema,1,30
Quartel Geral,170,9525
Serra da Saudade,...,...
Metropolitana de Belo Horizonte,11547,321682
Sete Lagoas,915,30605
Araçaí,16,517
