Cidade,latitude,longitude
Tamboara,-23.203558,-52.474272
Tapejara,-23.731462,-52.873487
Tapira,-23.319343,-53.068446
Teixeira Soares,-25.3701,-50.457072
Telêmaco Borba,-24.32452,-50.617585
Terra Boa,-23.768329,-52.447002
Terra Rica,-22.711101,-52.61878
Terra Roxa,-24.157455,-54.098816
Tibagi,-24.515316,-50.417587
Tijucas do Sul,-25.931054,-49.195017
Toledo,-24.724641,-53.741177
Tomazina,-23.77962,-49.949948
Três Barras do Paraná,-25.418517,-53.18335
Tunas do Paraná,-24.973084,-49.087889
Tuneiras do Oeste,-23.864798,-52.876874
Tupãssi,-24.587887,-53.51051
Turvo,-25.043671,-51.528223
Ubiratã,-24.539292,-52.986485
Umuarama,-23.765634,-53.32011
Uniflor,-23.08683,-52.157307
União da Vitória,-26.227319,-51.087313
Uraí,-23.199997,-50.793873
Ventania,-24.24582,-50.237577
Vera Cruz do Oeste,-25.057688,-53.877096
Verê,-25.877201,-52.905108
Virmond,-25.382911,-52.198715
Vitorino,-26.268282,-52.784266
Wenceslau Braz,-23.874217,-49.803201
Xambrê,-23.736409,-53.48843
Ângulo,-23.194609,-51.915356
