Cidade,latitude,longitude
Nova Módica,-18.441693,-41.498365
Nova Ponte,-19.146096,-47.677947
Nova Porteirinha,-15.799291,-43.294148
Nova Resende,-21.128612,-46.415732
Nova Serrana,-19.871299,-44.984661
Nova União,-19.687584,-43.583048
Novo Cruzeiro,-17.465438,-41.882633
Novo Oriente de Minas,-17.408932,-41.219361
Novorizonte,-16.016214,-42.404433
Olaria,-21.859789,-43.935558
Olhos-d`Água,-17.395912,-43.570453
Oliveira,-20.698218,-44.829037
Oliveira Fortes,-21.340054,-43.449893
Olímpio Noronha,-22.068548,-45.265726
Onça de Pitangui,-19.727551,-44.805771
Oratórios,-20.429758,-42.797698
Orizânia,-20.514162,-42.199124
Ouro Branco,-20.52629,-43.696217
Ouro Fino,-22.277868,-46.371599
Ouro Preto,-20.37957,-43.512045
Ouro Verde de Minas,-18.071923,-41.273412
Padre Carvalho,-16.364644,-42.508759
Padre Paraíso,-17.075789,-41.482053
Pai Pedro,-15.527099,-43.070006
Paineiras,-18.899345,-45.532064
Pains,-20.370467,-45.662685
Paiva,-21.291287,-43.408756
Palma,-21.374776,-42.312285
Palmópolis,-16.736375,-40.429609
Papagaios,-19.441922,-44.746799
Paracatu,-17.225166,-46.871064
Paraguaçu,-21.546507,-45.737419
Paraisópolis,-22.553912,-45.780295
Paraopeba,-19.273192,-44.404367
Pará de Minas,-19.853441,-44.611355
Passa Quatro,-22.387076,-44.970926
Passa Tempo,-20.653918,-44.492635
Passa-Vinte,-22.206583,-44.23657
Passabém,-19.350917,-43.138332
Passos,-20.719271,-46.609008
Patis,-16.077253,-44.078685
Patos de Minas,-18.569938,-46.501268
Patrocínio,-18.937867,-46.993419
Patrocínio do Muriaé,-21.154387,-42.212491
Paula Cândido,-20.875372,-42.975184
Paulistas,-18.427631,-42.8628
Pavão,-17.426703,-41.003471
Pedra Azul,-16.008648,-41.290948
Pedra Bonita,-20.521879,-42.330439
Pedra Dourada,-20.826627,-42.151502
Pedra do Anta,-20.596784,-42.712291
Pedra do Indaiá,-20.256346,-45.210653
Pedralva,-22.238645,-45.465386
Pedras de Maria da Cruz,-15.603244,-44.391046
Pedrinópolis,-19.224098,-47.457888
Pedro Leopoldo,-19.630811,-44.038258
Pedro Teixeira,-21.70763,-43.742949
Pequeri,-21.834113,-43.114487
Pequi,-19.628365,-44.660434
Perdigão,-19.941058,-45.077988
Perdizes,-19.343379,-47.296299
Perdões,-21.093225,-45.089582
Periquito,-19.157331,-42.233341
Pescador,-18.356962,-41.600578
Peçanha,-18.544079,-42.558276
Piau,-21.509645,-43.312992
Piedade de Caratinga,-19.759282,-42.075557
Piedade de Ponte Nova,-20.243848,-42.737872
Piedade do Rio Grande,-21.469021,-44.193834
Piedade dos Gerais,-20.471513,-44.224335
Pimenta,-20.482722,-45.804877
Pingo-d`Água,-19.727339,-42.407788
Pintópolis,-16.057205,-45.14017
Piracema,-20.508866,-44.478323
Pirajuba,-19.909206,-48.70269
Piranga,-20.683407,-43.296701
Piranguinho,-22.394961,-45.532405
Piranguçu,-22.524932,-45.494528
Pirapetinga,-21.655434,-42.34339
Pirapora,-17.33917,-44.934009
Piraúba,-21.282492,-43.017218
Pitangui,-19.674112,-44.896362
Piumhi,-20.47623,-45.95891
Planura,-20.137601,-48.700001
Pocrane,-19.620795,-41.633425
Pompéu,-19.22566,-45.014107
Ponte Nova,-20.4111,-42.897819
Ponto Chique,-16.628233,-45.05877
Ponto dos Volantes,-16.747314,-41.502477
Porteirinha,-15.74042,-43.02809
Porto Firme,-20.664191,-43.08341
Poté,-17.807698,-41.786044
Pouso Alegre,-22.22659,-45.938935
Pouso Alto,-22.19637,-44.974813
Poço Fundo,-21.780002,-45.96575
Poços de Caldas,-21.779975,-46.569184
Prados,-21.059748,-44.077798
Prata,-19.308607,-48.927625
Pratinha,-19.738975,-46.375537
Pratápolis,-20.74105,-46.862402
Presidente Bernardes,-20.76557,-43.189532
Presidente Juscelino,-18.640106,-44.060032
Presidente Kubitschek,-18.619252,-43.562774
Presidente Olegário,-18.40961,-46.416502
Prudente de Morais,-19.474213,-44.159074
Quartel Geral,-19.270328,-45.556915
Queluzito,-20.741562,-43.885084
Raposos,-19.96358,-43.807941
Raul Soares,-20.10611,-42.450197
Recreio,-21.528893,-42.4676
Reduto,-20.240089,-41.984835
Resende Costa,-20.917072,-44.24071
Resplendor,-19.319437,-41.246214
Ressaquinha,-21.06419,-43.75983
Riachinho,-16.225802,-45.988755
Riacho dos Machados,-16.009131,-43.048796
Ribeirão Vermelho,-21.187861,-45.06368
Ribeirão das Neves,-19.762076,-44.08445
Rio Acima,-20.087553,-43.787786
Rio Casca,-20.228542,-42.646209
Rio Doce,-20.241171,-42.899497
Rio Espera,-20.855001,-43.472076
Rio Manso,-20.26657,-44.306867
Rio Novo,-21.464899,-43.116805
Rio Paranaíba,-19.186138,-46.245482
Rio Pardo de Minas,-15.616028,-42.5405
Rio Piracicaba,-19.92836,-43.182919
Rio Pomba,-21.271152,-43.169625
Rio Preto,-22.086092,-43.829325
Rio Vermelho,-18.292155,-43.001783
Rio do Prado,-16.605648,-40.571371
Ritápolis,-21.027564,-44.320435
Rochedo de Minas,-21.628397,-43.016547
Rodeiro,-21.203467,-42.858622
Romaria,-18.883807,-47.578221
Rosário da Limeira,-20.981227,-42.511196
Rubelita,-16.40527,-42.261042
Rubim,-16.377494,-40.539714
Sabará,-19.884045,-43.82631
Sabinópolis,-18.665326,-43.075243
Sacramento,-19.862172,-47.450823
Salinas,-16.175265,-42.296406
Salto da Divisa,-16.006327,-39.939088
Santa Bárbara,-19.960358,-43.410145
Santa Bárbara do Leste,-19.975295,-42.145746
Santa Bárbara do Monte Verde,-21.959179,-43.702727
Santa Bárbara do Tugúrio,-21.243118,-43.560746
Santa Cruz de Minas,-21.124148,-44.220251
Santa Cruz de Salinas,-16.096717,-41.741767
Santa Cruz do Escalvado,-20.237238,-42.816886
Santa Efigênia de Minas,-18.823464,-42.438832
Santa Fé de Minas,-16.685947,-45.410207
Santa Helena de Minas,-16.970719,-40.67272
Santa Juliana,-19.310772,-47.532251
Santa Luzia,-19.754824,-43.849658
Santa Margarida,-20.383855,-42.251914
Santa Maria de Itabira,-19.4431,-43.106446
Santa Maria do Salto,-16.247895,-40.151164
Santa Maria do Suaçuí,-18.189581,-42.413899
Santa Rita de Caldas,-22.029192,-46.338501
Santa Rita de Ibitipoca,-21.565827,-43.916278
Santa Rita de Jacutinga,-22.147386,-44.0977
Santa Rita de Minas,-19.876046,-42.136277
Santa Rita do Itueto,-19.357649,-41.382084
Santa Rita do Sapucaí,-22.246141,-45.703405
Santa Rosa da Serra,-19.51861,-45.961081
Santa Vitória,-18.841398,-50.120759
Santana da Vargem,-21.244903,-45.500526
Santana de Cataguases,-21.289277,-42.552357
Santana de Pirapama,-18.996242,-44.040913
Santana do Deserto,-21.951208,-43.158323
Santana do Garambéu,-21.598344,-44.105044
Santana do Jacaré,-20.900714,-45.128506
Santana do Manhuaçu,-20.103106,-41.927839
Santana do Paraíso,-19.36607,-42.544573
Santana do Riacho,-19.166236,-43.72195
Santana dos Montes,-20.786799,-43.694885
Santo Antônio do Amparo,-20.943044,-44.917608
Santo Antônio do Aventureiro,-21.760572,-42.811457
Santo Antônio do Grama,-20.318471,-42.604689
Santo Antônio do Itambé,-18.460947,-43.300569
Santo Antônio do Jacinto,-16.533206,-40.181741
Santo Antônio do Monte,-20.085003,-45.294724
Santo Antônio do Retiro,-15.339271,-42.617092
Santo Antônio do Rio Abaixo,-19.237366,-43.260414
Santo Hipólito,-18.296768,-44.222857
Santos Dumont,-21.463377,-43.549876
Sapucaí-Mirim,-22.740899,-45.737958
Sardoá,-18.782799,-42.362938
Sarzedo,-20.036667,-44.1446
Sem-Peixe,-20.100845,-42.848331
Senador Amaral,-22.586897,-46.176329
